date,city,temperature
10/1/2011,New York,63.4
10/1/2011,San Francisco,62.7
10/1/2011,Austin,72.2
10/2/2011,New York,58
10/2/2011,San Francisco,59.9
10/2/2011,Austin,67.7
10/3/2011,New York,53.3
10/3/2011,San Francisco,59.1
10/3/2011,Austin,69.4
10/4/2011,New York,55.7
10/4/2011,San Francisco,58.8
10/4/2011,Austin,68
10/5/2011,New York,64.2
10/5/2011,San Francisco,58.7
10/5/2011,Austin,72.4
10/6/2011,New York,58.8
10/6/2011,San Francisco,57
10/6/2011,Austin,77
10/7/2011,New York,57.9
10/7/2011,San Francisco,56.7
10/7/2011,Austin,82.3
10/8/2011,New York,61.8
10/8/2011,San Francisco,56.8
10/8/2011,Austin,78.9
10/9/2011,New York,69.3
10/9/2011,San Francisco,56.7
10/9/2011,Austin,68.8
10/10/2011,New York,71.2
10/10/2011,San Francisco,60.1
10/10/2011,Austin,68.7
10/11/2011,New York,68.7
10/11/2011,San Francisco,61.1
10/11/2011,Austin,70.3
10/12/2011,New York,61.8
10/12/2011,San Francisco,61.5
10/12/2011,Austin,75.3
10/13/2011,New York,63
10/13/2011,San Francisco,64.3
10/13/2011,Austin,76.6
10/14/2011,New York,66.9
10/14/2011,San Francisco,67.1
10/14/2011,Austin,66.6
10/15/2011,New York,61.7
10/15/2011,San Francisco,64.6
10/15/2011,Austin,68
10/16/2011,New York,61.8
10/16/2011,San Francisco,61.6
10/16/2011,Austin,70.6
10/17/2011,New York,62.8
10/17/2011,San Francisco,61.1
10/17/2011,Austin,71.1
10/18/2011,New York,60.8
10/18/2011,San Francisco,59.2
10/18/2011,Austin,70
10/19/2011,New York,62.1
10/19/2011,San Francisco,58.9
10/19/2011,Austin,61.6
10/20/2011,New York,65.1
10/20/2011,San Francisco,57.2
10/20/2011,Austin,57.4
10/21/2011,New York,55.6
10/21/2011,San Francisco,56.4
10/21/2011,Austin,64.3
10/22/2011,New York,54.4
10/22/2011,San Francisco,60.7
10/22/2011,Austin,72.4
10/23/2011,New York,54.4
10/23/2011,San Francisco,65.1
10/23/2011,Austin,72.4
10/24/2011,New York,54.8
10/24/2011,San Francisco,60.9
10/24/2011,Austin,72.5
10/25/2011,New York,57.9
10/25/2011,San Francisco,56.1
10/25/2011,Austin,72.7
10/26/2011,New York,54.6
10/26/2011,San Francisco,54.6
10/26/2011,Austin,73.4
10/27/2011,New York,54.4
10/27/2011,San Francisco,56.1
10/27/2011,Austin,70.7
10/28/2011,New York,42.5
10/28/2011,San Francisco,58.1
10/28/2011,Austin,56.8
10/29/2011,New York,40.9
10/29/2011,San Francisco,57.5
10/29/2011,Austin,51
10/30/2011,New York,38.6
10/30/2011,San Francisco,57.7
10/30/2011,Austin,54.9
10/31/2011,New York,44.2
10/31/2011,San Francisco,55.1
10/31/2011,Austin,58.8
11/1/2011,New York,49.6
11/1/2011,San Francisco,57.9
11/1/2011,Austin,62.6
11/2/2011,New York,47.2
11/2/2011,San Francisco,64.6
11/2/2011,Austin,71
11/3/2011,New York,50.1
11/3/2011,San Francisco,56.2
11/3/2011,Austin,58.4
11/4/2011,New York,50.1
11/4/2011,San Francisco,50.5
11/4/2011,Austin,45.1
11/5/2011,New York,43.5
11/5/2011,San Francisco,51.3
11/5/2011,Austin,52.2
11/6/2011,New York,43.8
11/6/2011,San Francisco,52.6
11/6/2011,Austin,73
11/7/2011,New York,48.9
11/7/2011,San Francisco,51.4
11/7/2011,Austin,75.4
11/8/2011,New York,55.5
11/8/2011,San Francisco,50.6
11/8/2011,Austin,72.1
11/9/2011,New York,53.7
11/9/2011,San Francisco,54.6
11/9/2011,Austin,56.6
11/10/2011,New York,57.7
11/10/2011,San Francisco,55.6
11/10/2011,Austin,55.4
11/11/2011,New York,48.5
11/11/2011,San Francisco,53.9
11/11/2011,Austin,46.7
11/12/2011,New York,46.8
11/12/2011,San Francisco,54
11/12/2011,Austin,62
11/13/2011,New York,51.1
11/13/2011,San Francisco,53.8
11/13/2011,Austin,71.6
11/14/2011,New York,56.8
11/14/2011,San Francisco,53.5
11/14/2011,Austin,75.5
11/15/2011,New York,59.7
